vivienda_id_sistema,familia_id_sistema,departamento,municipio,area,comuna_o_corregimiento,barrio_o_vereda,sector,ingresos_familiares,perros_machos,perros_hembras,perros_vacunados,perros_sin_vacunar,gatos_machos,gatos_hembras,gatos_vacunados,gatos_sin_vacunar,equinos,aves,porcinos,bovinos,otros,otros_nombre,presencia_roedores,perros_peligrosos,fecha_visita
42014,85148,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42015,85151,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42016,85152,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42017,85153,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42018,85154,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,998,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42020,85156,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,999,1,1,2,0,0,2,2,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42021,85157,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,999,0,1,1,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42022,85158,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42023,85159,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,999,0,0,0,0,0,0,0,0,0,1,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42025,85165,66 - RISARALDA,001 - PEREIRA,U,FERROCARRIL,EL PLUMON,SURESTE DE LA SIERRA Invasion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
